Category,Item,Specification,Unit Cost,Quantity,Monthly Cost,Annual Cost,Notes
Cloud Hosting / Infrastructure,Server (Compute + Storage),EC2 t3.medium + 50GB EBS,"$0.0416/hour, $0.08/GB",1,$59.17,"$710.04","Includes compute, storage, load balancer, and elastic IP"
Cloud Hosting / Infrastructure,Small/Medium Setup,VPC + NAT + DNS + Monitoring,Various,1,$38.80,$465.60,"Network infrastructure, DNS, SSL certificates, monitoring"
Cloud Hosting / Infrastructure,Database (Managed DB),AWS DocumentDB db.t3.medium,$0.12/hour,1,$100.00,"$1,200.00","MongoDB-compatible, includes storage, I/O, backups"
Cloud Hosting / Infrastructure,Media Storage & CDN,S3 + CloudFront,"$0.023/GB, $0.085/GB",1,$9.37,$112.44,"Image/video storage with global CDN delivery"
Cloud Hosting / Infrastructure,Backup & Disaster Recovery,Automated backups + snapshots + DR,$0.02-0.05/GB,1,$3.30,$39.60,"30-day retention, cross-region replication"
Cloud Hosting / Infrastructure,Scaling Costs,Base configuration for 50 users,Included,-,$0.00,$0.00,"Auto-scaling ready, costs increase with user growth"
TOTAL,,,,,,$210.64,"$2,527.68",Optimized for 50 concurrent users

DETAILED BREAKDOWN,,,,,,,,
Category,Component,Specification,Unit Cost,Quantity,Monthly Cost,Annual Cost,Notes
Server - Compute,EC2 Instance,t3.medium (2 vCPU 4GB RAM),$0.0416/hour,730 hours,$30.37,$364.44,"Suitable for 50-100 concurrent users"
Server - Storage,EBS Volume,50 GB General Purpose SSD (gp3),$0.08/GB,50 GB,$4.00,$48.00,"Fast SSD storage for application data"
Server - Networking,Elastic IP,Static IP address,$3.60/month,1,$3.60,$43.20,"Permanent IP address for your server"
Server - Load Balancing,Application Load Balancer,Traffic distribution,$16.20/month,1,$16.20,$194.40,"Distributes traffic, health checks"
Server - Capacity,Load Balancer Capacity Units,Data processing,$5.00/month,1,$5.00,$60.00,"Processing capacity for load balancer"
Setup - Network,NAT Gateway,Private subnet internet access,$32.40/month,1,$32.40,$388.80,"Required for secure outbound traffic"
Setup - DNS,Route 53 Hosted Zone,DNS management,$0.50/month,1,$0.50,$6.00,"DNS hosting and health checks"
Setup - DNS Queries,Route 53 Queries,1M DNS queries,$0.40/million,1M,$0.40,$4.80,"DNS query processing"
Setup - Certificates,AWS Certificate Manager,SSL/TLS certificates,Free,-,$0.00,$0.00,"Free SSL certificates"
Setup - Monitoring,CloudWatch Basic,Resource monitoring,$3.00/month,1,$3.00,$36.00,"Metrics, dashboards, alarms"
Setup - Logs,CloudWatch Logs,5 GB log storage,$2.50/month,5 GB,$2.50,$30.00,"Application and system logs"
Database - Instance,DocumentDB Primary,db.t3.medium (2 vCPU 4GB RAM),$0.12/hour,730 hours,$87.60,"$1,051.20","MongoDB-compatible managed database"
